Country,Active_Military,Reserve_Military,Paramilitary,Total,sq_km,sq_mi,Country_Size_Rank
Czech_Republic,21750,0,0,21750,78871,30452,115
Dem_Rep_of_Congo,134250,0,0,134250,2344858,905354,12
Denmark_Greenland_Faroe,14500,44000,0,58500,4378052,1690375,7
Djibouti,10450,0,2650,13100,23200,8960,144
Dominican_Republic,56050,0,15000,71050,48670,18790,128
East_Timor,2280,0,0,2280,14874,5743,151
Ecuador,40250,118000,500,158750,283561,109483,73
Egypt,438500,479000,397000,1314500,1001450,386662,29
El_Salvador,24500,9900,17000,51400,21041,8124,147
Equatorial_Guinea,2400,0,0,2400,28051,10831,139
Eritrea,201750,120000,0,321750,117600,45410,99
Estonia,7100,17500,0,24600,45339,17505,129
Ethiopia,138000,0,0,138000,1104300,426370,26
Fiji,3500,6000,0,9500,18272,7055,149
Finland,23800,254000,14200,292000,338145,130558,65
France,208750,141050,30800,380600,643801,248573,42
Gabon,4700,0,2000,6700,267668,103347,76
Gambia ,800,0,0,800,11295,4361,156
